

----------------------------特别土特产----------------------------
特别土特产(2019-07-19 08:37:55):  看看这会行不行
张嘉旺39961562(2019-07-19 14:35:40):  可以发顺丰吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:35:53):  请问亲是需要哪一款商品呢？
张嘉旺39961562(2019-07-19 14:36:02):  路虎揽胜
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:36:13):  请问您是需要车模是吗？
张嘉旺39961562(2019-07-19 14:36:27):  不是整车
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:36:55):  整车是需要去门店购车的呢
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:37:00):  线上销售的只是订金哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:37:08):  后续的购车事宜都是在经销商处完成的，包括签订购车合同、支付尾款等。
张嘉旺39961562(2019-07-19 14:37:11):  不可以发快递吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:37:19):  不可以的哈
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:37:24):  整车是需要去门店购车的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:51:43):  亲，请问还有什么可以帮到您的吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 15:14:46):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
张嘉旺39961562(2019-07-19 15:14:48):  

----------------------------meng2868636----------------------------
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:38:34):  您好，这边销售顾问反馈一直联系不上您，请您核对一下号码 15832686344  ，如果号码错误，麻烦亲提供一下可以联系到您的方式，我们安排专属顾问联系您哦 
meng2868636(2019-07-19 14:38:36):  

----------------------------kebingwen----------------------------
kebingwen(2019-07-19 13:15:35):  http://item.taobao.com/item.htm?id=529713246574
kebingwen(2019-07-19 13:15:35):  [卡片]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:15:35):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:15:47):  您好，请问有什么可以帮您的？
kebingwen(2019-07-19 13:15:56):  有效期多久
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:16:14):  本服务包含中国大陆地区6GB通用数据流量（不区分漫游，不包含港澳台地区），自充值当日算起，有效期为自6个月。
kebingwen(2019-07-19 13:16:30):  有没有一年的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:16:52):  充值服务的目前只有这一种哦
kebingwen(2019-07-19 13:17:20):  我们外面买的联通卡可以用？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:17:46):  其他的流量卡，我们暂时无法帮您核实到是否可以使用，建议您可以尝试一下，以您尝试的结果为准。
kebingwen(2019-07-19 13:17:58):  谢谢
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:18:03):  不客气的亲亲
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:45:02):  亲，请问还有什么可以帮到您的吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:04:34):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
kebingwen(2019-07-19 14:04:35):  

----------------------------a9461976----------------------------
a9461976(2019-07-19 12:20:07):  [表情][表情]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:08):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:18):  您好，在的亲
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:38):  亲，您资料上传成功后通知我们下哦，这边让专员给您初步审核呢。
a9461976(2019-07-19 12:21:21):  [图片]
a9461976(2019-07-19 12:21:31):  收不到验证码
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:22:30):  这边反馈专员处理一下哦
a9461976(2019-07-19 12:23:22):  好的，好了通知我
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:23:38):  好的亲， 这边已经反馈专员查看了哦  有回复后立即留言给您
a9461976(2019-07-19 12:26:08):  我电话18704776666试了2天了，都不成功
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:26:46):  请问您是不是设置了短信拦截功能呢
a9461976(2019-07-19 12:27:04):  没有设置，我查看了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:27:22):  好的，这边我尽快为您核实下呢，专员回复后我通知您哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:11:21):  很抱歉，让您久等
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:11:22):  您的动态密码是761593，10分钟内有效，请输入动态密码进行登录
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:47:17):  请问亲是否输入密码登录了呢？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:04:27):  亲，已经有一段时间未收到您的消息了，我们的上班时间是9点至23点，如果您后续有问题欢迎联系我们，我们将竭诚为您服务！如果我的消息打扰到您，请您理解！非常感谢您对捷豹路虎官方旗舰店的支持，祝您生活愉快！
a9461976(2019-07-19 14:04:28):  

----------------------------tb417509367----------------------------
tb417509367(2019-07-19 13:35:38):  你好
tb417509367(2019-07-19 13:35:38):  [卡片]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:35:38):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
tb417509367(2019-07-19 13:35:40):  搜狗还问在吗
tb417509367(2019-07-19 13:35:49):  请问在吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:35:53):  您好，在的亲
tb417509367(2019-07-19 13:35:59):  我需要提供什么东西
tb417509367(2019-07-19 13:36:01):  下过单了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:36:02):  为购买本产品，请确保您具备如下条件：·您的爱车配备了InControl智能驭领高级触控服务系统；·您持有有效的中国大陆身份证；·您的收货地址位于中国大陆；·你拥有中国大陆手机号码；·您的爱车为一手车（需提供一手车发票）；·您需在开具购车发票后9个月内申请购买本产品；·确保您知晓爱车的VIN（车辆识别码）号码。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:36:04):   这个是办理联通SIM卡的条件哦，麻烦亲先看下是否符合，还请您车架号也提供一下哈
tb417509367(2019-07-19 13:36:21):  车架号？
tb417509367(2019-07-19 13:36:23):  稍等
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:36:26):  好的亲
tb417509367(2019-07-19 13:37:22):  [图片]
tb417509367(2019-07-19 13:37:31):  这个吧
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:37:56):  L2CAB3B25KG344115
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:03):  亲请您核对一下
tb417509367(2019-07-19 13:38:15):  你查一下对不对
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:30):  请问您的购车发票是9个月内的吗
tb417509367(2019-07-19 13:38:33):  对
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:38):  好的亲
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:44):  现在把申请购买数控卡的操作流程和注意事项发送给您查看一下。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:47):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍振环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:51):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“自拍免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:38:53):  一般17点之后或者次日发送上传链接的短信到您的手机上的哦，请您注意查收并按提示操作！
tb417509367(2019-07-19 13:38:56):  没短信啊
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:39:06):  一般17点之后或者次日收到短信通知的哦
tb417509367(2019-07-19 13:39:16):  我母亲的名字 我要怎么弄？
tb417509367(2019-07-19 13:39:32):  淘宝这个卡的收货人是我的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:39:36):  
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:39:51):  亲上传资料的时候 用您母亲的身份证办理呢  
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:40:03):  收货人和申请人不同没有关系的
tb417509367(2019-07-19 13:43:21):  好的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:43:37):  嗯呢
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:47:29):  亲，请问还有什么可以帮到您的吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 14:04:05):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
tb417509367(2019-07-19 14:04:06):  

----------------------------tb857703381----------------------------
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:42:28):  您好，这边销售顾问反馈您的电话一直联系不到您，麻烦亲确认一下号码：17070016661  
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:43:06):  如果号码有误，麻烦亲提供一下可以联系到您的方式哦。再次感谢您对捷豹路虎的关注与支持，后续有问题也可联系我们，祝您生活愉快！
tb857703381(2019-07-19 13:43:32):  

----------------------------老杨卡特----------------------------
老杨卡特(2019-07-19 12:00:39):  抱歉买大了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:00:39):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
老杨卡特(2019-07-19 12:00:46):  可以退货吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:00:57):  您好，请问衣服的包装和标签都完好吗？
老杨卡特(2019-07-19 12:00:58):  我想买件m
老杨卡特(2019-07-19 12:01:03):  完好
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:01:19):  好的，不影响二次销售，支持7天内退换的哈
老杨卡特(2019-07-19 12:01:25):  好的
老杨卡特(2019-07-19 12:01:46):  
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:01:46):  您好，请您确认包装完好，请您把需要退换的精品仔细包装，帮我们寄出。麻烦您在包裹内附带纸条写：淘宝ID,订单编号，退货还是换货及原因，以便更快捷地为您处理哦。退换货地址：上海上海市静安区江场三路86号9号楼5楼全层，收件人：石芝 ，电话：15035131805拒收平邮和到付件，请各位尊敬的捷豹路虎客户知悉哟。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:02:18):  退货退款申请售后也会尽快为您同意，请您耐心等待下哈 
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:59):  亲，请问还有什么可以帮到您的吗？
老杨卡特(2019-07-19 12:36:42):  你同意退货申请了？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:37:24):  已经通知售后专员处理了哦，会尽快为您同意申请呢，劳烦亲耐心等待下哈
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:09:50):  申请已经同意了哦，亲寄出麻烦亲在退货申请中填写一下寄回的快递单号哈
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:10:32):  这边收到退件，核实无误后会尽快为您处理退款哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 13:18:13):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
老杨卡特(2019-07-19 13:18:14):  

----------------------------ck81818----------------------------
ck81818(2019-07-19 12:13:00):  卡又不识别了，怎么回事
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:13:00):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
ck81818(2019-07-19 12:13:00):  [卡片]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:13:50):  您好，请问是不显示网络了吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:44:32):  如果不显示信号格，麻烦亲在网络覆盖比较强的区域，重新插入，然后系统的移动数据重新打开试下呢 
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:51:18):  亲，已经有一段时间未收到您的消息了，我们的上班时间是9点至23点，如果您后续有问题欢迎联系我们，我们将竭诚为您服务！如果我的消息打扰到您，请您理解！非常感谢您对捷豹路虎官方旗舰店的支持，祝您生活愉快！
ck81818(2019-07-19 12:51:20):  

----------------------------wlk18648027099----------------------------
wlk18648027099(2019-07-19 11:18:17):  zai
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:18:17):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:18:24):  您好，请问有什么可以帮您的？
wlk18648027099(2019-07-19 11:19:05):  在北京提车可以在鄂尔多斯上牌啊
wlk18648027099(2019-07-19 11:19:07):  吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:19:21):  您好，这个具体需要咨询一下经销商哦
wlk18648027099(2019-07-19 11:19:42):  噢。那你这能咨询什么？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:19:51):  亲方便的话，也可以提供一下您的联系方式，这边让北京的门店直接联系您，给您做个详细的介绍呢
wlk18648027099(2019-07-19 11:20:02):  18648027099
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:20:03):  线上是销售整车订金和精品的哈
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:20:05):  好的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:20:10):  请问怎么称呼您呢
wlk18648027099(2019-07-19 11:20:17):  王
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:20:33):  [图片]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:20:39):  请问您在哪个区域？
wlk18648027099(2019-07-19 11:22:00):  内蒙古
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:22:49):  请问是在北京哪个门店提车呢？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:22:55):  我让提车的门店联系您哦
wlk18648027099(2019-07-19 11:23:12):  那个门店优惠大
wlk18648027099(2019-07-19 11:23:14):  你选吧
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:23:27):  请问您意向的车型是哪款呢
wlk18648027099(2019-07-19 11:47:15):  路虎揽胜
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:47:35):  好的亲，这边登记信息，会尽快安排门店联系到您，请您电话保持畅通
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:25:22):  亲，请问还有什么可以帮到您的吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:51:04):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
wlk18648027099(2019-07-19 12:51:05):  

----------------------------fanwei2000----------------------------
fanwei2000(2019-07-19 12:09:08):  在吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:09:08):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
fanwei2000(2019-07-19 12:09:11):  [图片]
fanwei2000(2019-07-19 12:09:16):  我想购买这个
fanwei2000(2019-07-19 12:09:18):  怎么下单
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:09:20):  为购买本产品，请确保您具备如下条件：·您的爱车配备了InControl智能驭领高级触控服务系统；·您持有有效的中国大陆身份证；·您的收货地址位于中国大陆；·你拥有中国大陆手机号码；·您的爱车为一手车（需提供一手车发票）；·您需在开具购车发票后9个月内申请购买本产品；·确保您知晓爱车的VIN（车辆识别码）号码。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:09:22):   这个是办理联通SIM卡的条件哦，麻烦亲先看下是否符合，还请您车架号也提供一下哈
fanwei2000(2019-07-19 12:10:46):  salga2bv1ka538597
fanwei2000(2019-07-19 12:10:55):  2月1日在北京购买的 
fanwei2000(2019-07-19 12:11:02):  路虎揽胜2019款行政
fanwei2000(2019-07-19 12:11:05):  盛世版
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:11:39):  请问亲购买的是中规版的吗？
fanwei2000(2019-07-19 12:11:44):  是的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:11:49):  好的亲
fanwei2000(2019-07-19 12:11:49):  北京4s店 
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:11:54):  您的VIN码是可以申请购买的。现在把申请购买数控卡的操作流程和注意事项发送给您查看一下。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:11:58):  https://detail.tmall.com/item.htm?id=520717372031&spm=2014.21600715.0.0
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:12:03):  请您下单这个链接，您下单并付款成功后，系统匹配到您的订单后，把上传信息的短信链接发送到订单上预留的手机号码，请您付款前再次核对确认号码无误（您需要在收到短信后3天内完成信息上传）请您在收到的短信链接中，打开网址按照步骤操作，进入实名认证系统内上传车主信息，待联通处审核匹配成功后将会为您安排发卡。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:12:17):  一般17点之后或者次日发送上传链接的短信到您的手机上的哦，请您注意查收并按提示操作！
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:12:25):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍振环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:12:30):  亲，在收到发送的短信内有专属上传身份信息的链接，点击链接。自动进入上传信息界面，将“发票照片”、“身份证照片正反面”、“自拍免冠照”这4张照片上传至相应的框内（照片大小：手机2-3M，电脑是2M左右），点击“提交”完成。（速度较慢，耐心等待）
fanwei2000(2019-07-19 12:16:01):  我预留的手机号在哪里预留？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:16:10):  13856161818
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:16:12):  就是这个哦
fanwei2000(2019-07-19 12:16:19):  能换一个吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:16:35):  那需要亲申请一下退款重新拍呢，提交订单的时候编辑一下新的号码
fanwei2000(2019-07-19 12:16:42):  好的 
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:16:45):  麻烦您啦
fanwei2000(2019-07-19 12:18:56):  我重新拍了
fanwei2000(2019-07-19 12:18:58):  你看看行吗
fanwei2000(2019-07-19 12:19:04):  17756111000
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:05):  亲，请核对一下收货地址哦～安徽省  淮北市  相山区  曲阳街道恒大雅苑北区12栋1单元  235000  樊伟  17756111000fanwei2000(2019-07-19 12:19:12):  是的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:26):  好的亲，那请您17点后或者明天注意查收下短信哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:32):  收到短信后点击链接按步骤操作哈
fanwei2000(2019-07-19 12:19:32):  好的 谢谢
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:39):  给您发的注意事项也参考一下哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:40):  不客气的
fanwei2000(2019-07-19 12:19:44):  
fanwei2000(2019-07-19 12:19:49):  好
fanwei2000(2019-07-19 12:19:52):  点错了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:19:58):  没关系的亲
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:08):  亲，您资料上传成功后通知我们下哦，这边让登记给专员为您初步审核拍
fanwei2000(2019-07-19 12:21:25):  好的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:22:37):  [表情]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:44:47):  亲，请问还有什么可以帮到您的吗？
fanwei2000(2019-07-19 12:45:18):  没有了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:45:32):  好的亲
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:45:36):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
fanwei2000(2019-07-19 12:45:37):  

----------------------------e02659----------------------------
e02659(2019-07-19 11:48:35):  在吗
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:48:36):  亲，您好，我是捷豹路虎官方旗舰店购车管家:15，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:48:43):  您好，请问有什么可以帮您的？
e02659(2019-07-19 11:48:43):  我的订单显示还在处理中
e02659(2019-07-19 11:48:48):  无法提交新图片啊
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:48:58):  麻烦亲申请退款重新拍哦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:49:02):  https://detail.tmall.com/item.htm?id=520717372031&spm=2014.21600715.0.0
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:49:09):  您付款后一般17点之后或者次日发送上传链接的短信到您的手机上的哦，请您注意查收并按提示操作！
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:49:14):  请您接收到网址链接后，使用订单中预留的手机号码登录，请您在登录实名系统内上传信息时注意以下几点：1.需用户本人提供二代身份证原件正反面彩色照片；2.免冠（露双耳）正对摄像头，拍振环境明亮，不能使用美图工具及化浓妆；3.五官清晰不可遮挡，头像完整不得有缺失；4.头部面积大于照片总面积1/3；5.证件完整不得有缺失，必须露四边四角；6.身份证原件拍摄无遮挡，证件所有信息清晰不模糊；7.照片真实有效，无涂改作假痕迹；8.照片支持JPG、GIF格式。
e02659(2019-07-19 11:49:45):  还要申请退款重拍？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:50:05):  是的亲，之前的订单受理失败了，所以无法上传信息，需要亲重新拍下订单，收到链接后重新上传一下哈
e02659(2019-07-19 11:50:33):  我用谁变谁的手机号注册申请都行吧
e02659(2019-07-19 11:50:40):  随便谁的
e02659(2019-07-19 11:50:51):  用我父亲的太麻烦了
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:51:46):  只要能正常收到验证码都可以的呢
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:51:51):  亲，请核对一下收货地址哦～北京  北京市  石景山区  金顶街街道金顶街3区11栋1004室  100043  李昂  13641189127捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:52:08):  [图片]
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:52:14):  这个是范例图片，亲可以参考一下哦
e02659(2019-07-19 11:52:22):  是的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:52:27):  好的亲
e02659(2019-07-19 11:52:37):  新的链接记得发我
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:52:47):  一般17点之后或者次日发送上传链接的短信到您的手机上的哦，请您注意查收并按提示操作！
e02659(2019-07-19 11:53:02):  哦
e02659(2019-07-19 11:53:03):  好的
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 11:53:34):  麻烦您啦
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:20:54):  亲，请问还有什么可以帮到您的吗？
捷豹路虎官方旗舰店:线上购车管家15(2019-07-19 12:44:38):  尊敬的客户，整日奔波挺辛苦，天热多喝水，爱惜身体加餐饭，后面有任何问题随时联系我们在线客服~~捷豹路虎祝您心情愉快，开启幸福每一天[表情]
e02659(2019-07-19 12:44:40):  

----------------------------tb821932991----------------------------
tb821932991(2019-07-19 10:35:54):  在吗
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 10:35:55):  亲，您好，我是捷豹路虎官方旗舰店购车管家:12，很荣幸能够为您提供服务。目前我们全新一代路虎揽胜极光首发运动定制版正在预售中，如您有兴趣可以点击了解详情：https://detail.tmall.com/item.htm?spm=a1z10.1-b.w5003-17450320331.1.5e4e452ccFlwFf&id=595245299165&sku_properties=151248060:4491610911&scene=taobao_shop
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 10:36:01):  亲，在的，请问有什么可以为您服务？[表情]
tb821932991(2019-07-19 10:37:13):  物流信息我填了
捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 10:37:36):  亲，请核对一下收货地址哦～四川省  绵阳市  涪城区  高新街道高新区石桥铺美立方商业广场  000000  唐先生  15328897192捷豹路虎官方旗舰店:线上购车管家12(2019-07-19 11:06:43):  亲,请问还有什么可以帮您的吗?
